No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;
113;2.665.968;23.7.217.88;192.168.43.47;TCP;1454;[TCP Previous segment not captured] 443  >  49726 [ACK] Seq=1401 Ack=218 Win=30336 Len=1400;;;;;;;;;;;;;;;
114;2.665.968;23.7.217.88;192.168.43.47;TLSv1.2;1350;Ignored Unknown Record;;;;;;;;;;;;;;;
115;2.665.968;23.7.217.88;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  49726 [ACK] Seq=1 Ack=218 Win=30336 Len=1400;;;;;;;;;;;;;;;
116;2.666.091;192.168.43.47;23.7.217.88;TCP;66;[TCP Dup ACK 110#1] 49726  >  443 [ACK] Seq=218 Ack=1 Win=65792 Len=0 SLE=1401 SRE=2801;;;;;;;;;;;;;;;
117;2.666.269;192.168.43.47;23.7.217.88;TCP;66;[TCP Dup ACK 110#2] 49726  >  443 [ACK] Seq=218 Ack=1 Win=65792 Len=0 SLE=1401 SRE=4097;;;;;;;;;;;;;;;
118;2.666.393;192.168.43.47;23.7.217.88;TCP;54;49726  >  443 [ACK] Seq=218 Ack=4097 Win=65792 Len=0;;;;;;;;;;;;;;;
119;2.666.608;23.7.217.88;192.168.43.47;TLSv1.2;1454;Ignored Unknown Record;;;;;;;;;;;;;;;
120;2.706.902;192.168.43.47;23.7.217.88;TCP;54;49726  >  443 [ACK] Seq=218 Ack=5497 Win=65792 Len=0;;;;;;;;;;;;;;;
121;2.758.251;23.7.217.88;192.168.43.47;TLSv1.2;336;Ignored Unknown Record;;;;;;;;;;;;;;;
122;2.765.246;192.168.43.47;23.7.217.88;TLSv1.2;180;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
123;2.860.537;23.7.217.88;192.168.43.47;TLSv1.2;328;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
124;2.863.034;192.168.43.47;23.7.217.88;TLSv1.2;587;Application Data;;;;;;;;;;;;;;;
125;2.992.149;23.7.217.88;192.168.43.47;TCP;54;443  >  49726 [ACK] Seq=6053 Ack=877 Win=31360 Len=0;;;;;;;;;;;;;;;
126;3.098.567;23.7.217.88;192.168.43.47;TLSv1.2;742;Application Data;;;;;;;;;;;;;;;
127;3.113.064;192.168.43.47;23.7.217.88;TCP;54;49726  >  443 [FIN, ACK] Seq=877 Ack=6741 Win=64512 Len=0;;;;;;;;;;;;;;;
130;3.168.157;192.168.43.47;23.7.217.88;TCP;66;49727  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;
131;3.193.081;23.7.217.88;192.168.43.47;TCP;54;[TCP Previous segment not captured] 443  >  49726 [FIN, ACK] Seq=6772 Ack=878 Win=31360 Len=0;;;;;;;;;;;;;;;
132;3.193.230;192.168.43.47;23.7.217.88;TCP;54;[TCP Dup ACK 127#1] 49726  >  443 [ACK] Seq=878 Ack=6741 Win=64512 Len=0;;;;;;;;;;;;;;;
133;3.193.529;23.7.217.88;192.168.43.47;TCP;85;[TCP Out-Of-Order] 443  >  49726 [PSH, ACK] Seq=6741 Ack=878 Win=31360 Len=31;;;;;;;;;;;;;;;
134;3.193.609;192.168.43.47;23.7.217.88;TCP;54;49726  >  443 [RST, ACK] Seq=878 Ack=6772 Win=0 Len=0;;;;;;;;;;;;;;;
135;3.252.367;23.7.217.88;192.168.43.47;TCP;66;443  >  49727 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400 SACK_PERM=1 WS=128;;;;;;;;;;;;;;;
136;3.252.588;192.168.43.47;23.7.217.88;TCP;54;49727  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0;;;;;;;;;;;;;;;
137;3.254.085;192.168.43.47;23.7.217.88;TLSv1.2;271;Client Hello;;;;;;;;;;;;;;;
138;3.324.443;23.9.184.115;192.168.43.47;TCP;54;80  >  49682 [FIN, ACK] Seq=1 Ack=1 Win=245 Len=0;;;;;;;;;;;;;;;
139;3.324.611;192.168.43.47;23.9.184.115;TCP;54;49682  >  80 [ACK] Seq=1 Ack=2 Win=255 Len=0;;;;;;;;;;;;;;;
140;3.324.652;192.168.43.47;23.9.184.115;TCP;54;49682  >  80 [FIN, ACK] Seq=1 Ack=2 Win=255 Len=0;;;;;;;;;;;;;;;
141;3.333.200;23.7.217.88;192.168.43.47;TCP;54;443  >  49727 [ACK] Seq=1 Ack=218 Win=30336 Len=0;;;;;;;;;;;;;;;
142;3.333.635;23.7.217.88;192.168.43.47;TLSv1.2;1454;Server Hello;;;;;;;;;;;;;;;
143;3.333.635;23.7.217.88;192.168.43.47;TCP;1350;[TCP Previous segment not captured] 443  >  49727 [PSH, ACK] Seq=2801 Ack=218 Win=30336 Len=1296 [TCP segment of a reassembled PDU] [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
144;3.333.780;192.168.43.47;23.7.217.88;TCP;66;49727  >  443 [ACK] Seq=218 Ack=1401 Win=65792 Len=0 SLE=2801 SRE=4097;;;;;;;;;;;;;;;
145;3.334.258;23.7.217.88;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  49727 [ACK] Seq=1401 Ack=218 Win=30336 Len=1400;;;;;;;;;;;;;;;
146;3.334.258;23.7.217.88;192.168.43.47;TLSv1.2;1454;Certificate Status [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
147;3.334.367;192.168.43.47;23.7.217.88;TCP;54;49727  >  443 [ACK] Seq=218 Ack=4097 Win=65792 Len=0;;;;;;;;;;;;;;;
148;3.334.470;192.168.43.47;23.7.217.88;TCP;54;49727  >  443 [ACK] Seq=218 Ack=5497 Win=65792 Len=0;;;;;;;;;;;;;;;
149;3.380.460;23.9.184.115;192.168.43.47;TCP;54;80  >  49682 [ACK] Seq=2 Ack=2 Win=245 Len=0;;;;;;;;;;;;;;;
150;3.403.468;23.7.217.88;192.168.43.47;TLSv1.2;336;Server Key Exchange, Server Hello Done;;;;;;;;;;;;;;;
151;3.414.394;192.168.43.47;23.7.217.88;TLSv1.2;180;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
152;3.504.763;23.7.217.88;192.168.43.47;TLSv1.2;328;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
153;3.507.687;192.168.43.47;23.7.217.88;TLSv1.2;587;Application Data;;;;;;;;;;;;;;;
154;3.658.990;23.7.217.88;192.168.43.47;TCP;54;443  >  49727 [ACK] Seq=6053 Ack=877 Win=31360 Len=0;;;;;;;;;;;;;;;
155;3.780.747;23.7.217.88;192.168.43.47;TLSv1.2;728;Application Data;;;;;;;;;;;;;;;
156;3.784.019;192.168.43.47;23.7.217.88;TCP;54;49727  >  443 [FIN, ACK] Seq=877 Ack=6727 Win=64512 Len=0;;;;;;;;;;;;;;;
157;3.863.878;23.7.217.88;192.168.43.47;TCP;54;[TCP Previous segment not captured] 443  >  49727 [FIN, ACK] Seq=6758 Ack=878 Win=31360 Len=0;;;;;;;;;;;;;;;
158;3.864.015;192.168.43.47;23.7.217.88;TCP;54;[TCP Dup ACK 156#1] 49727  >  443 [ACK] Seq=878 Ack=6727 Win=64512 Len=0;;;;;;;;;;;;;;;
159;3.864.305;23.7.217.88;192.168.43.47;TCP;85;[TCP Out-Of-Order] 443  >  49727 [PSH, ACK] Seq=6727 Ack=878 Win=31360 Len=31;;;;;;;;;;;;;;;
160;3.864.378;192.168.43.47;23.7.217.88;TCP;54;49727  >  443 [RST, ACK] Seq=878 Ack=6758 Win=0 Len=0;;;;;;;;;;;;;;;
163;3.891.000;192.168.43.47;23.7.217.88;TCP;66;49728  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;
164;3.973.388;23.7.217.88;192.168.43.47;TCP;66;443  >  49728 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400 SACK_PERM=1 WS=128;;;;;;;;;;;;;;;
165;3.973.625;192.168.43.47;23.7.217.88;TCP;54;49728  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0;;;;;;;;;;;;;;;
166;3.975.337;192.168.43.47;23.7.217.88;TLSv1.2;271;Client Hello;;;;;;;;;;;;;;;
167;4.054.572;23.7.217.88;192.168.43.47;TCP;54;443  >  49728 [ACK] Seq=1 Ack=218 Win=30336 Len=0;;;;;;;;;;;;;;;
168;4.054.572;23.7.217.88;192.168.43.47;TLSv1.2;1454;Server Hello;;;;;;;;;;;;;;;
169;4.054.572;23.7.217.88;192.168.43.47;TCP;1350;[TCP Previous segment not captured] 443  >  49728 [PSH, ACK] Seq=2801 Ack=218 Win=30336 Len=1296 [TCP segment of a reassembled PDU] [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
170;4.054.572;23.7.217.88;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  49728 [ACK] Seq=1401 Ack=218 Win=30336 Len=1400;;;;;;;;;;;;;;;
171;4.054.572;23.7.217.88;192.168.43.47;TLSv1.2;1454;Certificate Status [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
