No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;
4162;330.181.931;103.208.137.6;192.168.43.47;TCP;54;443  >  65120 [ACK] Seq=338854 Ack=4827 Win=64128 Len=0;;;;;;;;;;;;;;;
4163;330.184.832;103.208.137.6;192.168.43.47;TLSv1.2;88;[TCP Previous segment not captured] , Application Data;;;;;;;;;;;;;;;
4164;330.185.012;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 3661#1] 65120  >  443 [ACK] Seq=4827 Ack=338854 Win=464640 Len=0 SLE=339739 SRE=339773;;;;;;;;;;;;;;;
4165;330.185.486;103.208.137.6;192.168.43.47;TCP;939;[TCP Out-Of-Order] 443  >  65120 [PSH, ACK] Seq=338854 Ack=4827 Win=64128 Len=885;;;;;;;;;;;;;;;
4166;330.185.577;192.168.43.47;103.208.137.6;TCP;54;65120  >  443 [ACK] Seq=4827 Ack=339773 Win=463872 Len=0;;;;;;;;;;;;;;;
4167;330.297.516;192.168.43.47;103.208.137.6;TLSv1.2;754;Application Data;;;;;;;;;;;;;;;
4168;330.307.926;192.168.43.47;103.208.137.6;TLSv1.2;755;Application Data;;;;;;;;;;;;;;;
4169;330.350.150;192.168.43.47;103.208.137.6;TLSv1.2;759;Application Data;;;;;;;;;;;;;;;
4170;330.351.733;192.168.43.47;103.208.137.6;TCP;66;65159  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;
4171;330.352.967;103.208.137.6;192.168.43.47;TCP;1454;443  >  65120 [ACK] Seq=339773 Ack=5527 Win=64128 Len=1400 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
4172;330.355.024;192.168.43.47;103.208.137.6;TCP;66;65160  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;
4173;330.355.249;103.208.137.6;192.168.43.47;TLSv1.2;1454;[TCP Previous segment not captured] , Ignored Unknown Record;;;;;;;;;;;;;;;
4174;330.355.360;192.168.43.47;103.208.137.6;TCP;66;65120  >  443 [ACK] Seq=5527 Ack=341173 Win=464640 Len=0 SLE=345303 SRE=346703;;;;;;;;;;;;;;;
4175;330.355.576;103.208.137.6;192.168.43.47;TLSv1.2;324;Ignored Unknown Record;;;;;;;;;;;;;;;
4176;330.355.635;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 4174#1] 65120  >  443 [ACK] Seq=5527 Ack=341173 Win=464640 Len=0 SLE=345303 SRE=346973;;;;;;;;;;;;;;;
4177;330.356.000;103.208.137.6;192.168.43.47;TCP;1384;[TCP Out-Of-Order] 443  >  65120 [PSH, ACK] Seq=342573 Ack=5527 Win=64128 Len=1330 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
4178;330.356.067;192.168.43.47;103.208.137.6;TCP;74;[TCP Dup ACK 4174#2] 65120  >  443 [ACK] Seq=5527 Ack=341173 Win=464640 Len=0 SLE=342573 SRE=343903 SLE=345303 SRE=346973;;;;;;;;;;;;;;;
4179;330.356.265;103.208.137.6;192.168.43.47;TLSv1.2;1454;[TCP Fast Retransmission] , Application Data;;;;;;;;;;;;;;;
4180;330.356.347;192.168.43.47;103.208.137.6;TCP;66;65120  >  443 [ACK] Seq=5527 Ack=343903 Win=464640 Len=0 SLE=345303 SRE=346973;;;;;;;;;;;;;;;
4181;330.356.554;103.208.137.6;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65120 [ACK] Seq=343903 Ack=5527 Win=64128 Len=1400;;;;;;;;;;;;;;;
4182;330.356.624;192.168.43.47;103.208.137.6;TCP;54;65120  >  443 [ACK] Seq=5527 Ack=346973 Win=464640 Len=0;;;;;;;;;;;;;;;
4183;330.358.699;192.168.43.47;103.208.137.6;TCP;66;65161  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;
4184;330.372.203;192.168.43.47;103.208.137.6;TLSv1.2;756;Application Data;;;;;;;;;;;;;;;
4185;330.378.123;103.208.137.6;192.168.43.47;TLSv1.2;88;[TCP Previous segment not captured] , Application Data;;;;;;;;;;;;;;;
4186;330.378.286;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 4161#1] 65121  >  443 [ACK] Seq=13494 Ack=249840 Win=65792 Len=0 SLE=250886 SRE=250920;;;;;;;;;;;;;;;
4187;330.378.622;103.208.137.6;192.168.43.47;TCP;1100;[TCP Out-Of-Order] 443  >  65121 [PSH, ACK] Seq=249840 Ack=13494 Win=64128 Len=1046;;;;;;;;;;;;;;;
4188;330.378.714;192.168.43.47;103.208.137.6;TCP;54;65121  >  443 [ACK] Seq=13494 Ack=250920 Win=64512 Len=0;;;;;;;;;;;;;;;
4189;330.401.673;103.208.137.6;192.168.43.47;TCP;66;443  >  65159 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1400 SACK_PERM=1 WS=128;;;;;;;;;;;;;;;
4190;330.401.902;192.168.43.47;103.208.137.6;TCP;54;65159  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0;;;;;;;;;;;;;;;
4191;330.402.227;103.208.137.6;192.168.43.47;TCP;66;443  >  65160 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1400 SACK_PERM=1 WS=128;;;;;;;;;;;;;;;
4192;330.402.227;103.208.137.6;192.168.43.47;TCP;66;443  >  65161 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1400 SACK_PERM=1 WS=128;;;;;;;;;;;;;;;
4193;330.402.394;192.168.43.47;103.208.137.6;TCP;54;65160  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0;;;;;;;;;;;;;;;
4194;330.402.487;192.168.43.47;103.208.137.6;TCP;54;65161  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0;;;;;;;;;;;;;;;
4195;330.402.751;192.168.43.47;103.208.137.6;TLSv1.2;571;Client Hello;;;;;;;;;;;;;;;
4196;330.403.535;192.168.43.47;103.208.137.6;TLSv1.2;571;Client Hello;;;;;;;;;;;;;;;
4197;330.404.565;192.168.43.47;103.208.137.6;TLSv1.2;571;Client Hello;;;;;;;;;;;;;;;
4198;330.414.546;192.168.43.47;103.208.137.6;TLSv1.2;751;Application Data;;;;;;;;;;;;;;;
4199;330.430.166;103.208.137.6;192.168.43.47;TLSv1.2;88;[TCP Previous segment not captured] , Application Data;;;;;;;;;;;;;;;
4200;330.430.367;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 4182#1] 65120  >  443 [ACK] Seq=6229 Ack=346973 Win=464640 Len=0 SLE=348034 SRE=348068;;;;;;;;;;;;;;;
4201;330.430.729;103.208.137.6;192.168.43.47;TCP;1115;[TCP Out-Of-Order] 443  >  65120 [PSH, ACK] Seq=346973 Ack=6229 Win=64128 Len=1061;;;;;;;;;;;;;;;
4202;330.430.828;192.168.43.47;103.208.137.6;TCP;54;65120  >  443 [ACK] Seq=6229 Ack=348068 Win=463616 Len=0;;;;;;;;;;;;;;;
4203;330.436.544;192.168.43.47;103.208.137.6;TLSv1.2;753;Application Data;;;;;;;;;;;;;;;
4204;330.451.861;103.208.137.6;192.168.43.47;TCP;54;443  >  65126 [ACK] Seq=32745 Ack=3003 Win=64128 Len=0;;;;;;;;;;;;;;;
4205;330.461.901;103.208.137.6;192.168.43.47;TCP;54;443  >  65159 [ACK] Seq=1 Ack=518 Win=64128 Len=0;;;;;;;;;;;;;;;
4206;330.463.286;103.208.137.6;192.168.43.47;TLSv1.2;210;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
4207;330.463.563;103.208.137.6;192.168.43.47;TCP;54;443  >  65160 [ACK] Seq=1 Ack=518 Win=64128 Len=0;;;;;;;;;;;;;;;
4208;330.463.563;103.208.137.6;192.168.43.47;TLSv1.2;210;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
4209;330.470.003;103.208.137.6;192.168.43.47;TCP;54;443  >  65161 [ACK] Seq=1 Ack=518 Win=64128 Len=0;;;;;;;;;;;;;;;
4210;330.470.592;103.208.137.6;192.168.43.47;TLSv1.2;210;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
4211;330.470.838;103.208.137.6;192.168.43.47;TLSv1.2;933;Application Data;;;;;;;;;;;;;;;
4212;330.471.694;103.208.137.6;192.168.43.47;TLSv1.2;88;Application Data;;;;;;;;;;;;;;;
4213;330.471.828;192.168.43.47;103.208.137.6;TCP;54;65121  >  443 [ACK] Seq=14191 Ack=251833 Win=65792 Len=0;;;;;;;;;;;;;;;
4214;330.477.788;103.208.137.6;192.168.43.47;TCP;915;[TCP Previous segment not captured] 443  >  65126 [PSH, ACK] Seq=34145 Ack=3003 Win=64128 Len=861 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
4215;330.477.940;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 2955#1] 65126  >  443 [ACK] Seq=3003 Ack=32745 Win=64512 Len=0 SLE=34145 SRE=35006;;;;;;;;;;;;;;;
4216;330.478.700;103.208.137.6;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65126 [ACK] Seq=32745 Ack=3003 Win=64128 Len=1400 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
4217;330.478.857;192.168.43.47;103.208.137.6;TCP;54;65126  >  443 [ACK] Seq=3003 Ack=35006 Win=65792 Len=0;;;;;;;;;;;;;;;
4218;330.482.517;192.168.43.47;103.208.137.6;TLSv1.2;754;Application Data;;;;;;;;;;;;;;;
4219;330.484.160;103.208.137.6;192.168.43.47;TLSv1.2;950;Application Data;;;;;;;;;;;;;;;
4220;330.484.458;103.208.137.6;192.168.43.47;TLSv1.2;88;Application Data;;;;;;;;;;;;;;;
4221;330.484.539;192.168.43.47;103.208.137.6;TCP;54;65120  >  443 [ACK] Seq=6928 Ack=348998 Win=464640 Len=0;;;;;;;;;;;;;;;
4222;330.492.574;192.168.43.47;103.208.137.6;TLSv1.2;105;Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
4223;330.498.807;192.168.43.47;103.208.137.6;TLSv1.2;105;Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
4224;330.503.414;192.168.43.47;103.208.137.6;TLSv1.2;105;Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
4225;330.512.568;192.168.43.47;103.208.137.6;TLSv1.2;758;Application Data;;;;;;;;;;;;;;;
4226;330.513.540;192.168.43.47;103.208.137.6;TLSv1.2;753;Application Data;;;;;;;;;;;;;;;
4227;330.516.535;192.168.43.47;103.208.137.6;TLSv1.2;759;Application Data;;;;;;;;;;;;;;;
4228;330.520.892;192.168.43.47;103.208.137.6;TLSv1.2;777;Application Data;;;;;;;;;;;;;;;
4229;330.522.261;192.168.43.47;103.208.137.6;TLSv1.2;753;Application Data;;;;;;;;;;;;;;;
4230;330.543.015;103.208.137.6;192.168.43.47;TLSv1.2;893;Application Data;;;;;;;;;;;;;;;
4231;330.543.284;103.208.137.6;192.168.43.47;TLSv1.2;88;Application Data;;;;;;;;;;;;;;;
4232;330.543.358;192.168.43.47;103.208.137.6;TCP;54;65121  >  443 [ACK] Seq=14891 Ack=252706 Win=64768 Len=0;;;;;;;;;;;;;;;
4233;330.552.366;192.168.43.47;103.208.137.6;TLSv1.2;754;Application Data;;;;;;;;;;;;;;;
4234;330.571.232;103.208.137.6;192.168.43.47;TCP;54;443  >  65160 [ACK] Seq=157 Ack=1268 Win=64128 Len=0;;;;;;;;;;;;;;;
4235;330.571.530;103.208.137.6;192.168.43.47;TCP;54;443  >  65159 [ACK] Seq=157 Ack=1273 Win=64128 Len=0;;;;;;;;;;;;;;;
4236;330.571.530;103.208.137.6;192.168.43.47;TCP;54;443  >  65161 [ACK] Seq=157 Ack=1274 Win=64128 Len=0;;;;;;;;;;;;;;;
4237;330.571.530;103.208.137.6;192.168.43.47;TCP;54;443  >  65126 [ACK] Seq=35006 Ack=3702 Win=64128 Len=0;;;;;;;;;;;;;;;
4238;330.572.659;103.208.137.6;192.168.43.47;TLSv1.2;88;[TCP Previous segment not captured] , Application Data;;;;;;;;;;;;;;;
4239;330.572.788;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 4223#1] 65160  >  443 [ACK] Seq=1268 Ack=157 Win=65536 Len=0 SLE=1077 SRE=1111;;;;;;;;;;;;;;;
4240;330.573.135;103.208.137.6;192.168.43.47;TLSv1.2;1092;Application Data;;;;;;;;;;;;;;;
4241;330.573.135;103.208.137.6;192.168.43.47;TLSv1.2;88;[TCP Previous segment not captured] , Application Data;;;;;;;;;;;;;;;
4242;330.573.135;103.208.137.6;192.168.43.47;TLSv1.2;88;Application Data;;;;;;;;;;;;;;;
4243;330.573.264;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 4221#1] 65120  >  443 [ACK] Seq=7651 Ack=348998 Win=464640 Len=0 SLE=350289 SRE=350323;;;;;;;;;;;;;;;
4244;330.573.360;192.168.43.47;103.208.137.6;TCP;54;65159  >  443 [ACK] Seq=1273 Ack=1229 Win=64512 Len=0;;;;;;;;;;;;;;;
4245;330.573.547;103.208.137.6;192.168.43.47;TCP;1345;[TCP Out-Of-Order] 443  >  65120 [PSH, ACK] Seq=348998 Ack=7651 Win=64128 Len=1291;;;;;;;;;;;;;;;
4246;330.573.616;192.168.43.47;103.208.137.6;TCP;54;65120  >  443 [ACK] Seq=7651 Ack=350323 Win=463360 Len=0;;;;;;;;;;;;;;;
4247;330.573.946;103.208.137.6;192.168.43.47;TCP;974;[TCP Out-Of-Order] 443  >  65160 [PSH, ACK] Seq=157 Ack=1268 Win=64128 Len=920;;;;;;;;;;;;;;;
4248;330.573.946;103.208.137.6;192.168.43.47;TCP;924;443  >  65126 [PSH, ACK] Seq=35006 Ack=3702 Win=64128 Len=870 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
4249;330.574.024;192.168.43.47;103.208.137.6;TCP;54;65160  >  443 [ACK] Seq=1268 Ack=1111 Win=64512 Len=0;;;;;;;;;;;;;;;
4250;330.574.247;103.208.137.6;192.168.43.47;TCP;88;443  >  65126 [PSH, ACK] Seq=35876 Ack=3702 Win=64128 Len=34 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
4251;330.574.298;192.168.43.47;103.208.137.6;TCP;54;65126  >  443 [ACK] Seq=3702 Ack=35910 Win=64768 Len=0;;;;;;;;;;;;;;;
4252;330.587.968;103.208.137.6;192.168.43.47;TLSv1.2;1384;[TCP Previous segment not captured] , Ignored Unknown Record;;;;;;;;;;;;;;;
4253;330.588.090;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 4224#1] 65161  >  443 [ACK] Seq=1274 Ack=157 Win=65536 Len=0 SLE=2957 SRE=4287;;;;;;;;;;;;;;;
4254;330.588.843;103.208.137.6;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65161 [ACK] Seq=157 Ack=1274 Win=64128 Len=1400;;;;;;;;;;;;;;;
4255;330.588.926;192.168.43.47;103.208.137.6;TCP;66;65161  >  443 [ACK] Seq=1274 Ack=1557 Win=65792 Len=0 SLE=2957 SRE=4287;;;;;;;;;;;;;;;
4256;330.589.291;103.208.137.6;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65161 [ACK] Seq=1557 Ack=1274 Win=64128 Len=1400;;;;;;;;;;;;;;;
4257;330.589.291;103.208.137.6;192.168.43.47;TLSv1.2;291;[TCP Previous segment not captured] , Ignored Unknown Record;;;;;;;;;;;;;;;
4258;330.589.376;192.168.43.47;103.208.137.6;TCP;54;65161  >  443 [ACK] Seq=1274 Ack=4287 Win=65792 Len=0;;;;;;;;;;;;;;;
4259;330.589.481;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 4258#1] 65161  >  443 [ACK] Seq=1274 Ack=4287 Win=65792 Len=0 SLE=5687 SRE=5924;;;;;;;;;;;;;;;
4260;330.589.834;103.208.137.6;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65161 [ACK] Seq=4287 Ack=1274 Win=64128 Len=1400;;;;;;;;;;;;;;;
4261;330.589.904;192.168.43.47;103.208.137.6;TCP;54;65161  >  443 [ACK] Seq=1274 Ack=5924 Win=65792 Len=0;;;;;;;;;;;;;;;
4262;330.603.818;103.208.137.6;192.168.43.47;TLSv1.2;978;Application Data;;;;;;;;;;;;;;;
4263;330.604.092;103.208.137.6;192.168.43.47;TLSv1.2;88;Application Data;;;;;;;;;;;;;;;
4264;330.604.168;192.168.43.47;103.208.137.6;TCP;54;65121  >  443 [ACK] Seq=15591 Ack=253664 Win=65792 Len=0;;;;;;;;;;;;;;;
4265;330.604.179;192.168.43.47;103.208.137.6;TLSv1.2;763;Application Data;;;;;;;;;;;;;;;
4266;330.604.612;192.168.43.47;103.208.137.6;TLSv1.2;755;Application Data;;;;;;;;;;;;;;;
4267;330.606.424;192.168.43.47;103.208.137.6;TLSv1.2;765;Application Data;;;;;;;;;;;;;;;
4268;330.607.569;192.168.43.47;103.208.137.6;TLSv1.2;751;Application Data;;;;;;;;;;;;;;;
4269;330.619.995;192.168.43.47;103.208.137.6;TLSv1.2;749;Application Data;;;;;;;;;;;;;;;
4270;330.623.106;192.168.43.47;103.208.137.6;TLSv1.2;758;Application Data;;;;;;;;;;;;;;;
4271;330.652.983;103.208.137.6;192.168.43.47;TCP;924;443  >  65126 [PSH, ACK] Seq=35910 Ack=4411 Win=64128 Len=870 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
4272;330.653.466;103.208.137.6;192.168.43.47;TCP;88;443  >  65126 [PSH, ACK] Seq=36780 Ack=4411 Win=64128 Len=34 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
4273;330.653.466;103.208.137.6;192.168.43.47;TLSv1.2;944;Application Data;;;;;;;;;;;;;;;
4274;330.653.466;103.208.137.6;192.168.43.47;TLSv1.2;1211;Application Data;;;;;;;;;;;;;;;
4275;330.653.466;103.208.137.6;192.168.43.47;TLSv1.2;88;Application Data;;;;;;;;;;;;;;;
4276;330.653.466;103.208.137.6;192.168.43.47;TLSv1.2;88;Application Data;;;;;;;;;;;;;;;
4277;330.653.672;192.168.43.47;103.208.137.6;TCP;54;65126  >  443 [ACK] Seq=4411 Ack=36814 Win=65792 Len=0;;;;;;;;;;;;;;;
4278;330.653.904;192.168.43.47;103.208.137.6;TCP;54;65160  >  443 [ACK] Seq=1969 Ack=2035 Win=65792 Len=0;;;;;;;;;;;;;;;
4279;330.653.989;192.168.43.47;103.208.137.6;TCP;54;65120  >  443 [ACK] Seq=8362 Ack=351514 Win=464640 Len=0;;;;;;;;;;;;;;;
4280;330.669.769;103.208.137.6;192.168.43.47;TLSv1.2;88;[TCP Previous segment not captured] , Application Data;;;;;;;;;;;;;;;
4281;330.669.925;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 4244#1] 65159  >  443 [ACK] Seq=1970 Ack=1229 Win=64512 Len=0 SLE=2169 SRE=2203;;;;;;;;;;;;;;;
4282;330.670.233;103.208.137.6;192.168.43.47;TCP;994;[TCP Out-Of-Order] 443  >  65159 [PSH, ACK] Seq=1229 Ack=1970 Win=64128 Len=940;;;;;;;;;;;;;;;
4283;330.670.314;192.168.43.47;103.208.137.6;TCP;54;65159  >  443 [ACK] Seq=1970 Ack=2203 Win=65792 Len=0;;;;;;;;;;;;;;;
4284;330.670.657;103.208.137.6;192.168.43.47;TLSv1.2;695;[TCP Previous segment not captured] , Ignored Unknown Record;;;;;;;;;;;;;;;
4285;330.670.728;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 4261#1] 65161  >  443 [ACK] Seq=1969 Ack=5924 Win=65792 Len=0 SLE=7324 SRE=7965;;;;;;;;;;;;;;;
4286;330.670.909;103.208.137.6;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65161 [ACK] Seq=5924 Ack=1969 Win=64128 Len=1400;;;;;;;;;;;;;;;
4287;330.670.976;192.168.43.47;103.208.137.6;TCP;54;65161  >  443 [ACK] Seq=1969 Ack=7965 Win=65792 Len=0;;;;;;;;;;;;;;;
4288;330.674.665;192.168.43.47;103.208.137.6;TLSv1.2;757;Application Data;;;;;;;;;;;;;;;
4289;330.676.399;192.168.43.47;103.208.137.6;TLSv1.2;757;Application Data;;;;;;;;;;;;;;;
4290;330.678.112;192.168.43.47;103.208.137.6;TLSv1.2;757;Application Data;;;;;;;;;;;;;;;
4291;330.682.928;103.208.137.6;192.168.43.47;TLSv1.2;761;[TCP Previous segment not captured] , Ignored Unknown Record;;;;;;;;;;;;;;;
4292;330.683.084;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 4264#1] 65121  >  443 [ACK] Seq=16295 Ack=253664 Win=65792 Len=0 SLE=255064 SRE=255771;;;;;;;;;;;;;;;
4293;330.683.395;103.208.137.6;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65121 [ACK] Seq=253664 Ack=16295 Win=64128 Len=1400;;;;;;;;;;;;;;;
4294;330.683.477;192.168.43.47;103.208.137.6;TCP;54;65121  >  443 [ACK] Seq=16295 Ack=255771 Win=65792 Len=0;;;;;;;;;;;;;;;
4295;330.687.573;192.168.43.47;103.208.137.6;TLSv1.2;758;Application Data;;;;;;;;;;;;;;;
4296;330.726.064;192.168.43.47;103.208.137.6;TLSv1.2;758;Application Data;;;;;;;;;;;;;;;
4297;330.747.171;103.208.137.6;192.168.43.47;TCP;1454;443  >  65160 [ACK] Seq=2035 Ack=2672 Win=64128 Len=1400 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
4298;330.747.471;103.208.137.6;192.168.43.47;TLSv1.2;624;Application Data;;;;;;;;;;;;;;;
4299;330.747.552;192.168.43.47;103.208.137.6;TCP;54;65160  >  443 [ACK] Seq=2672 Ack=4005 Win=65792 Len=0;;;;;;;;;;;;;;;
4300;330.754.160;192.168.43.47;103.208.137.6;TLSv1.2;759;Application Data;;;;;;;;;;;;;;;
4301;330.762.273;192.168.43.47;103.208.137.6;TLSv1.2;757;Application Data;;;;;;;;;;;;;;;
4302;330.762.374;103.208.137.6;192.168.43.47;TLSv1.2;274;[TCP Previous segment not captured] , Ignored Unknown Record;;;;;;;;;;;;;;;
4303;330.762.511;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 4287#1] 65161  >  443 [ACK] Seq=2673 Ack=7965 Win=65792 Len=0 SLE=10847 SRE=11067;;;;;;;;;;;;;;;
4304;330.762.751;103.208.137.6;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65161 [ACK] Seq=9447 Ack=2673 Win=64128 Len=1400;;;;;;;;;;;;;;;
4305;330.762.823;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 4287#2] 65161  >  443 [ACK] Seq=2673 Ack=7965 Win=65792 Len=0 SLE=9447 SRE=11067;;;;;;;;;;;;;;;
4306;330.763.025;103.208.137.6;192.168.43.47;TCP;1454;[TCP Fast Retransmission] 443  >  65161 [ACK] Seq=7965 Ack=2673 Win=64128 Len=1400 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
4307;330.763.098;192.168.43.47;103.208.137.6;TCP;66;65161  >  443 [ACK] Seq=2673 Ack=9365 Win=65792 Len=0 SLE=9447 SRE=11067;;;;;;;;;;;;;;;
4308;330.763.289;103.208.137.6;192.168.43.47;TCP;136;[TCP Out-Of-Order] 443  >  65161 [PSH, ACK] Seq=9365 Ack=2673 Win=64128 Len=82;;;;;;;;;;;;;;;
4309;330.763.366;192.168.43.47;103.208.137.6;TCP;54;65161  >  443 [ACK] Seq=2673 Ack=11067 Win=65792 Len=0;;;;;;;;;;;;;;;
4310;330.770.299;192.168.43.47;103.208.137.6;TLSv1.2;759;Application Data;;;;;;;;;;;;;;;
4311;330.771.046;103.208.137.6;192.168.43.47;TCP;54;443  >  65126 [ACK] Seq=36814 Ack=5114 Win=64128 Len=0;;;;;;;;;;;;;;;
4312;330.771.046;103.208.137.6;192.168.43.47;TCP;54;443  >  65120 [ACK] Seq=351514 Ack=9065 Win=64128 Len=0;;;;;;;;;;;;;;;
4313;330.777.962;103.208.137.6;192.168.43.47;TCP;1454;443  >  65159 [ACK] Seq=2203 Ack=2674 Win=64128 Len=1400 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
4314;330.778.462;103.208.137.6;192.168.43.47;TLSv1.2;678;Application Data;;;;;;;;;;;;;;;
4315;330.778.559;192.168.43.47;103.208.137.6;TCP;54;65159  >  443 [ACK] Seq=2674 Ack=4227 Win=65792 Len=0;;;;;;;;;;;;;;;
4316;330.785.640;192.168.43.47;103.208.137.6;TLSv1.2;759;Application Data;;;;;;;;;;;;;;;
4317;330.842.938;103.208.137.6;192.168.43.47;TCP;1454;443  >  65121 [ACK] Seq=255771 Ack=17000 Win=64128 Len=1400 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
4318;330.843.677;103.208.137.6;192.168.43.47;TLSv1.2;470;[TCP Previous segment not captured] , Ignored Unknown Record;;;;;;;;;;;;;;;
4319;330.843.677;103.208.137.6;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65161 [ACK] Seq=12467 Ack=3378 Win=64128 Len=1400;;;;;;;;;;;;;;;
4320;330.843.677;103.208.137.6;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65161 [ACK] Seq=11067 Ack=3378 Win=64128 Len=1400;;;;;;;;;;;;;;;
4321;330.843.677;103.208.137.6;192.168.43.47;TLSv1.2;711;Application Data;;;;;;;;;;;;;;;
4322;330.843.857;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 4309#1] 65161  >  443 [ACK] Seq=3378 Ack=11067 Win=65792 Len=0 SLE=13867 SRE=14283;;;;;;;;;;;;;;;
4323;330.844.067;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 4309#2] 65161  >  443 [ACK] Seq=3378 Ack=11067 Win=65792 Len=0 SLE=12467 SRE=14283;;;;;;;;;;;;;;;
4324;330.844.188;192.168.43.47;103.208.137.6;TCP;54;65161  >  443 [ACK] Seq=3378 Ack=14283 Win=65792 Len=0;;;;;;;;;;;;;;;
4325;330.844.301;192.168.43.47;103.208.137.6;TCP;54;65121  >  443 [ACK] Seq=17000 Ack=257828 Win=65792 Len=0;;;;;;;;;;;;;;;
4326;330.851.654;103.208.137.6;192.168.43.47;TCP;54;443  >  65160 [ACK] Seq=4005 Ack=3375 Win=64128 Len=0;;;;;;;;;;;;;;;
4327;330.854.929;103.208.137.6;192.168.43.47;TLSv1.2;839;[TCP Previous segment not captured] , Ignored Unknown Record;;;;;;;;;;;;;;;
4328;330.855.070;192.168.43.47;103.208.137.6;TCP;66;[TCP Dup ACK 4279#1] 65120  >  443 [ACK] Seq=9065 Ack=351514 Win=464640 Len=0 SLE=352914 SRE=353699;;;;;;;;;;;;;;;
4329;330.855.370;103.208.137.6;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65120 [ACK] Seq=351514 Ack=9065 Win=64128 Len=1400;;;;;;;;;;;;;;;
4330;330.855.455;192.168.43.47;103.208.137.6;TCP;54;65120  >  443 [ACK] Seq=9065 Ack=353699 Win=464640 Len=0;;;;;;;;;;;;;;;
4331;330.884.924;103.208.137.6;192.168.43.47;TCP;1454;443  >  65159 [ACK] Seq=4227 Ack=3379 Win=64128 Len=1400 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
4332;330.885.281;103.208.137.6;192.168.43.47;TLSv1.2;136;Application Data;;;;;;;;;;;;;;;
